ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
3528502,352850,Mairiporã,SP,Sudeste,2025,97835,17,0,0,0,1.74,0.0,0.0,0.0,92.75,Muito alta
3528601,352860,Manduri,SP,Sudeste,2025,10122,2,0,0,0,1.98,0.0,0.0,0.0,91.01,Muito alta
3528700,352870,Marabá Paulista,SP,Sudeste,2025,4619,2,0,0,0,4.33,0.0,0.0,0.0,63.98,Alta
3528809,352880,Maracaí,SP,Sudeste,2025,12804,4,0,0,0,3.12,0.0,0.0,0.0,79.05,Muito alta
3528858,352885,Marapoama,SP,Sudeste,2025,3415,1,0,0,0,2.93,0.0,0.0,0.0,81.23,Muito alta
3529104,352910,Marinópolis,SP,Sudeste,2025,1862,2,0,0,0,10.74,0.0,0.0,0.0,36.08,Moderada
3528908,352890,Mariápolis,SP,Sudeste,2025,3526,2,0,0,0,5.67,0.0,0.0,0.0,48.83,Moderada
3529203,352920,Martinópolis,SP,Sudeste,2025,25240,14,1,1,0,5.55,3.96,3.96,0.0,27.61,Moderada
3529005,352900,Marília,SP,Sudeste,2025,247348,59,6,5,2,2.39,2.43,2.02,0.81,67.94,Alta
3529302,352930,Matão,SP,Sudeste,2025,81075,19,0,0,0,2.34,0.0,0.0,0.0,87.75,Muito alta
3529401,352940,Mauá,SP,Sudeste,2025,429014,25,2,2,2,0.58,0.47,0.47,0.47,81.23,Muito alta
3529500,352950,Mendonça,SP,Sudeste,2025,6420,2,0,0,0,3.12,0.0,0.0,0.0,79.27,Muito alta
3529609,352960,Meridiano,SP,Sudeste,2025,4721,1,0,0,0,2.12,0.0,0.0,0.0,89.85,Muito alta
3529658,352965,Mesópolis,SP,Sudeste,2025,1990,1,0,0,0,5.03,0.0,0.0,0.0,55.2,Alta
3529708,352970,Miguelópolis,SP,Sudeste,2025,19621,10,0,0,0,5.1,0.0,0.0,0.0,54.49,Alta
3529807,352980,Mineiros do Tietê,SP,Sudeste,2025,11322,3,0,0,0,2.65,0.0,0.0,0.0,84.49,Muito alta
3530003,353000,Mira Estrela,SP,Sudeste,2025,3209,1,0,0,0,3.12,0.0,0.0,0.0,79.24,Muito alta
3529906,352990,Miracatu,SP,Sudeste,2025,18610,10,0,0,0,5.37,0.0,0.0,0.0,51.67,Alta
3530102,353010,Mirandópolis,SP,Sudeste,2025,28754,8,0,0,0,2.78,0.0,0.0,0.0,82.85,Muito alta
3530201,353020,Mirante do Paranapanema,SP,Sudeste,2025,16031,10,0,0,0,6.24,0.0,0.0,0.0,44.78,Moderada
3530300,353030,Mirassol,SP,Sudeste,2025,65811,7,0,0,0,1.06,0.0,0.0,0.0,96.67,Muito alta
3530409,353040,Mirassolândia,SP,Sudeste,2025,4783,1,0,0,0,2.09,0.0,0.0,0.0,90.19,Muito alta
3530508,353050,Mococa,SP,Sudeste,2025,69372,20,1,1,1,2.88,1.44,1.44,1.44,63.68,Alta
3530706,353070,Mogi Guaçu,SP,Sudeste,2025,160318,26,0,0,0,1.62,0.0,0.0,0.0,93.53,Muito alta
3530805,353080,Mogi Mirim,SP,Sudeste,2025,95742,14,1,1,1,1.46,1.04,1.04,1.04,77.14,Muito alta
3530607,353060,Mogi das Cruzes,SP,Sudeste,2025,470302,37,4,4,2,0.79,0.85,0.85,0.43,80.53,Muito alta
3530904,353090,Mombuca,SP,Sudeste,2025,3830,2,0,0,0,5.22,0.0,0.0,0.0,53.2,Alta
3531100,353110,Mongaguá,SP,Sudeste,2025,64845,11,0,0,0,1.7,0.0,0.0,0.0,93.05,Muito alta
3531209,353120,Monte Alegre do Sul,SP,Sudeste,2025,8923,3,0,0,0,3.36,0.0,0.0,0.0,76.17,Muito alta
3531308,353130,Monte Alto,SP,Sudeste,2025,48758,9,0,0,0,1.85,0.0,0.0,0.0,91.84,Muito alta
3531407,353140,Monte Aprazível,SP,Sudeste,2025,22668,4,0,0,0,1.76,0.0,0.0,0.0,92.54,Muito alta
3531506,353150,Monte Azul Paulista,SP,Sudeste,2025,18337,10,0,0,0,5.45,0.0,0.0,0.0,51.07,Alta
3531605,353160,Monte Castelo,SP,Sudeste,2025,4306,2,0,0,0,4.64,0.0,0.0,0.0,59.95,Alta
3531803,353180,Monte Mor,SP,Sudeste,2025,67832,12,0,0,0,1.77,0.0,0.0,0.0,92.49,Muito alta
3531704,353170,Monteiro Lobato,SP,Sudeste,2025,4205,2,0,0,0,4.76,0.0,0.0,0.0,58.6,Alta
3531001,353100,Monções,SP,Sudeste,2025,1947,1,0,0,0,5.14,0.0,0.0,0.0,54.06,Alta
3531902,353190,Morro Agudo,SP,Sudeste,2025,28521,13,1,1,1,4.56,3.51,3.51,3.51,39.65,Moderada
3532009,353200,Morungaba,SP,Sudeste,2025,14147,6,0,0,0,4.24,0.0,0.0,0.0,65.25,Alta
3532058,353205,Motuca,SP,Sudeste,2025,4071,2,0,0,0,4.91,0.0,0.0,0.0,56.56,Alta
3532108,353210,Murutinga do Sul,SP,Sudeste,2025,3748,2,0,0,0,5.34,0.0,0.0,0.0,52.1,Alta
3532157,353215,Nantes,SP,Sudeste,2025,2697,2,0,0,0,7.42,0.0,0.0,0.0,40.01,Moderada
3532207,353220,Narandiba,SP,Sudeste,2025,5956,2,0,0,0,3.36,0.0,0.0,0.0,76.23,Muito alta
3532306,353230,Natividade da Serra,SP,Sudeste,2025,7155,3,0,0,0,4.19,0.0,0.0,0.0,65.78,Alta
3532405,353240,Nazaré Paulista,SP,Sudeste,2025,18675,3,1,0,0,1.61,5.35,0.0,0.0,68.58,Alta
3532504,353250,Neves Paulista,SP,Sudeste,2025,9953,4,0,0,0,4.02,0.0,0.0,0.0,67.91,Alta
3532603,353260,Nhandeara,SP,Sudeste,2025,9915,5,1,0,0,5.04,10.09,0.0,0.0,24.04,Baixa
3532702,353270,Nipoã,SP,Sudeste,2025,4876,1,0,0,0,2.05,0.0,0.0,0.0,90.48,Muito alta
3532801,353280,Nova Aliança,SP,Sudeste,2025,6885,2,0,0,0,2.9,0.0,0.0,0.0,81.4,Muito alta
3532827,353282,Nova Campina,SP,Sudeste,2025,8630,6,0,0,0,6.95,0.0,0.0,0.0,41.35,Moderada
3532843,353284,Nova Canaã Paulista,SP,Sudeste,2025,2055,2,0,0,0,9.73,0.0,0.0,0.0,36.72,Moderada
3532868,353286,Nova Castilho,SP,Sudeste,2025,1072,1,0,0,0,9.33,0.0,0.0,0.0,37.02,Moderada
3532900,353290,Nova Europa,SP,Sudeste,2025,9459,5,1,1,1,5.29,10.57,10.57,10.57,21.45,Baixa
3533007,353300,Nova Granada,SP,Sudeste,2025,19733,2,0,0,0,1.01,0.0,0.0,0.0,96.89,Muito alta
3533106,353310,Nova Guataporanga,SP,Sudeste,2025,2188,2,0,0,0,9.14,0.0,0.0,0.0,37.33,Moderada
3533205,353320,Nova Independência,SP,Sudeste,2025,4847,3,0,0,0,6.19,0.0,0.0,0.0,45.07,Moderada
3533304,353330,Nova Luzitânia,SP,Sudeste,2025,2817,1,0,0,0,3.55,0.0,0.0,0.0,73.84,Alta
3533403,353340,Nova Odessa,SP,Sudeste,2025,64596,7,1,0,0,1.08,1.55,0.0,0.0,78.56,Muito alta
3533254,353325,Novais,SP,Sudeste,2025,4463,1,0,0,0,2.24,0.0,0.0,0.0,88.72,Muito alta
3533502,353350,Novo Horizonte,SP,Sudeste,2025,39494,8,1,0,0,2.03,2.53,0.0,0.0,71.16,Alta
3533601,353360,Nuporanga,SP,Sudeste,2025,7570,6,0,0,0,7.93,0.0,0.0,0.0,38.93,Moderada
3533700,353370,Ocauçu,SP,Sudeste,2025,4418,2,0,0,0,4.53,0.0,0.0,0.0,61.4,Alta
3533908,353390,Olímpia,SP,Sudeste,2025,56874,9,1,1,0,1.58,1.76,1.76,0.0,75.56,Muito alta
3534005,353400,Onda Verde,SP,Sudeste,2025,4942,2,0,0,0,4.05,0.0,0.0,0.0,67.5,Alta
3534104,353410,Oriente,SP,Sudeste,2025,6180,4,0,0,0,6.47,0.0,0.0,0.0,43.35,Moderada
3534203,353420,Orindiúva,SP,Sudeste,2025,6157,1,0,0,0,1.62,0.0,0.0,0.0,93.51,Muito alta
3534302,353430,Orlândia,SP,Sudeste,2025,39144,9,0,0,0,2.3,0.0,0.0,0.0,88.22,Muito alta
3534401,353440,Osasco,SP,Sudeste,2025,759524,38,6,6,3,0.5,0.79,0.79,0.39,81.35,Muito alta
3534500,353450,Oscar Bressane,SP,Sudeste,2025,2502,1,0,0,0,4.0,0.0,0.0,0.0,68.09,Alta
3534609,353460,Osvaldo Cruz,SP,Sudeste,2025,32112,10,0,0,0,3.11,0.0,0.0,0.0,79.32,Muito alta
3534708,353470,Ourinhos,SP,Sudeste,2025,106911,18,4,3,1,1.68,3.74,2.81,0.94,71.24,Alta
3534807,353480,Ouro Verde,SP,Sudeste,2025,7900,4,0,0,0,5.06,0.0,0.0,0.0,54.78,Alta
3534757,353475,Ouroeste,SP,Sudeste,2025,10660,3,0,0,0,2.81,0.0,0.0,0.0,82.42,Muito alta
3534906,353490,Pacaembu,SP,Sudeste,2025,15273,8,0,0,0,5.24,0.0,0.0,0.0,53.03,Alta
3535002,353500,Palestina,SP,Sudeste,2025,11704,1,0,0,0,0.85,0.0,0.0,0.0,97.54,Muito alta
3535101,353510,Palmares Paulista,SP,Sudeste,2025,9666,4,0,0,0,4.14,0.0,0.0,0.0,66.52,Alta
3535200,353520,Palmeira d'Oeste,SP,Sudeste,2025,8971,4,0,0,0,4.46,0.0,0.0,0.0,62.18,Alta
3535309,353530,Palmital,SP,Sudeste,2025,19714,6,0,0,0,3.04,0.0,0.0,0.0,80.11,Muito alta
3535408,353540,Panorama,SP,Sudeste,2025,15227,6,0,0,0,3.94,0.0,0.0,0.0,68.72,Alta
3535507,353550,Paraguaçu Paulista,SP,Sudeste,2025,42049,13,0,0,0,3.09,0.0,0.0,0.0,79.55,Muito alta
3535606,353560,Paraibuna,SP,Sudeste,2025,17959,6,0,0,0,3.34,0.0,0.0,0.0,76.44,Muito alta
3535804,353580,Paranapanema,SP,Sudeste,2025,19853,7,1,1,1,3.53,5.04,5.04,5.04,49.74,Moderada
3535903,353590,Paranapuã,SP,Sudeste,2025,4118,1,0,0,0,2.43,0.0,0.0,0.0,86.74,Muito alta
3536000,353600,Parapuã,SP,Sudeste,2025,10720,5,0,0,0,4.66,0.0,0.0,0.0,59.74,Alta
